例字	中古音	電白龍山	羅定	雷州	吳川蘭石	說明：蘭石東話 陰平 33 家多初開 陽平 22 牙河圖魚 陰上 31 左把假女 陽上 42 午謝異硬 陰去 44 化廢放布 陰入 5 發括得績 陽入 2 活越賊局 升降調 453 之爸血百				
瘡	宕開三平陽初	tsʰoŋ33	tsʰoŋ45	tsʰo24	soŋ33					
床	宕開三平陽崇	tsʰoŋ22	tsʰoŋ24	tsʰo22	soŋ22					
霜	宕開三平陽生	ɬoŋ33	siaŋ45	suaŋ24	ɬiɔŋ33					
爽	宕開三上養生	ɬoŋ31	soŋ451	suaŋ41	ɬɔŋ31					
章	宕開三平陽章	tsiaŋ33	tyo45	tsiaŋ24	tsən33					
掌	宕開三上養章	tsiŋ31	tsyo451	tsio41	tsɔ31					
昌	宕開三平陽昌	tsʰiaŋ33	tsʰiaŋ45	tsʰiaŋ24	sɔŋ453					
廠	宕開三上養昌	tsʰoŋ31	tsʰoŋ451	tsʰiaŋ41	sɔŋ31					
唱	宕開三去漾昌	tsʰiɛu44	tsʰyo31	tsʰio21	sɔ44					
瓤	宕開三平陽日	noŋ22	noŋ45	no22	nɔŋ22					
讓	宕開三去漾日	niaŋ42	jiaŋ443	niaŋ453	ȵiən42					
弱	宕開三入藥日	jiak2	jiak2	niok2	——					
傷	宕開三平陽書	ɬiaŋ33	siaŋ45	siaŋ24	ɬɛŋ33					
常	宕開三平陽禪	tsʰiaŋ22	siaŋ24	siaŋ22	ɬiaŋ22					
嘗	宕開三平陽禪	tsʰiŋ22	si31	tsʰi21	ɬiɔ22					
上～山	宕開三上養禪	ɬiaŋ42	tsyo443	tsio33	ɗoŋ42					
上～面	宕開三去漾禪	ɬiaŋ42/tsiɛu33	tsyo443	tsio24	tsɔ33					
薑生～	宕開三平陽見	kiɛu33	kyo45	kio24	kiɔ33					
腳	宕開三入藥見	kʰa33（訓“骹”）	kʰa45（訓“骹”）	kʰa24（訓“骹”）	kʰa33（訓“骹”）					
強～大	宕開三平陽群	kʰiaŋ22	kʰiaŋ24	kʰiaŋ22	kʰiaŋ22					
香	宕開三平陽曉	pʰaŋ33（訓“芳”）/hiaŋ33	pʰaŋ45（訓“芳”）	pʰaŋ24（訓“芳”）/hio24/hiaŋ24	hiɔ33/hiaŋ31					
鄉	宕開三平陽曉	hiaŋ33	hyo45	hiaŋ24	hiɔ33					
響	宕開三上養曉	hiaŋ31	hiaŋ451	hiaŋ41	hiaŋ31					
向	宕開三去漾曉	hiaŋ44	hyo31	hio21	hiɔ44					
秧	宕開三平陽影	oŋ33	yo45	o24	oŋ33					
約	宕開三入藥影	iak5	iak5	iok5	ɛk5					
羊	宕開三平陽以	iŋ22	yo24	io22	iɔ22					
楊	宕開三平陽以	iɛu22	iaŋ24	jiaŋ22	iɔ22					
癢	宕開三上養以	niap5	tsyo24	tsio22	ȵiap5					
樣	宕開三去漾以	jiaŋ42	iaŋ451	io24	iɔ33					
光	宕合一平唐見	kuaŋ33	kui45	kui24/kuaŋ24（文）	kui33/kuɔŋ453（文）					
郭	宕合一入鐸見	kuak5	kak5	kuɛk5	kɔk5					
荒	宕合一平唐曉	huaŋ33	hoŋ45	huaŋ24	fɔŋ33					
謊	宕合一上宕曉	huaŋ31	hoŋ45	huaŋ41	——					
黃	宕合一平唐匣	ui22	ui24	ui22	ui22					
方	宕合三平陽非	huaŋ33（文）/paŋ33	hoŋ45	paŋ24/baŋ24（文）	ɓaŋ33/fɔ33/fɔŋ33（文）					
放	宕合三去漾非	paŋ44	paŋ31	paŋ21	ɓaŋ44					
芳	宕合三平陽敷	pʰaŋ33	pʰaŋ45	pʰaŋ24	——					
紡	宕合三上養敷	huaŋ31	hoŋ451	baŋ41	pʰaŋ31					
房	宕合三平陽奉	paŋ22	paŋ24	paŋ22	ɓaŋ22					
網	宕合三上養微	maŋ42	ɓaŋ22	maŋ33	maŋ42					
望	宕合三去漾微	moŋ33	ɓɐŋ22	mo24	moŋ44					
筐	宕合三平陽溪	kuaŋ33	kʰaŋ45	kʰiaŋ24	——					
狂	宕合三平陽群	kuaŋ22	koŋ24	kʰuaŋ24	kʰɔŋ22					
縛	宕合三入並藥	——	pak2	——	ɓak2					
王	江開二平陽雲	ui22（訓“黃”）	ui24（訓“黃”）	hiaŋ22	ui22（訓“黃”）					
綁	江開二上講幫	paŋ31	pak2（訓“縛”）	pak5	ɓak2（訓“縛”）					
剝	江開二入覺幫	mok5	ɓak5	moi453（訓）/pok5	——					
駁	江開二入覺幫	——	pok5	pok5	——					
雹	江開二入覺並	pau22	pʰok5	pʰak5	pʰau453					
桌	江開二入覺知	tsʰoŋ22	to451	tsʰo22	tɔk5					
啄	江開二入覺知	tʰiaŋ53/tsʰem53（訓）	tiem45（訓）	tsʰok5	tɔk2					
捉	江開二入覺莊	tsɔk5	ɗia443（訓“掠”）	lia33（訓“掠”）	——					
窗	江開二平江初	tʰiaŋ33	tsʰyo45	tʰiaŋ24	kʰɛŋ33					
雙	江開二平江生	ɬiaŋ33	siaŋ45	siaŋ24	ɬiaŋ33					
江	江開二平江見	kiaŋ33	kaŋ45	kiaŋ24	kɔŋ33					
講	江開二上講見	koŋ31	koŋ451	ko41	kaŋ31					
角	江開二入覺見	kak5	kak5	kak5	kak5					
殼	江開二入覺溪	kʰak5	kʰak5	kʰak5	kʰak5					
巷	江開二去絳匣	laŋ44	haŋ31	ho24	oŋ33					
學	江開二入覺匣	ɔ33	o443	o33	ɔ42					
北	曾開一入德幫	pak5	pak5	pak5	ɓət5					
墨	曾開一入德明	mak2	ɓak2	bak2	pʰət2					
燈	曾開一平登明	tɛŋ33	tiŋ45	tiŋ24	ɗən33					
等	曾開一上等端	taŋ31	tʰiŋ31	taŋ41	ɗaŋ31/ɗən31（文）					
德	曾開一入德端	tak5	tak5	tik5	ɗət5					
藤	曾開一入登定	tiŋ22	tin24	tʰaŋ22	ɗin22					
特	曾開一平登定	tak2	tak2	tik2	ɗət2					
能	曾開一平登泥	naŋ22	nɐŋ24	nɛŋ22	nən22					
曾	曾開一平燈精	tsaŋ33	tsɐŋ45	tsʰaŋ24	sən22					
層	曾開一平登從	tiaŋ22	tsʰaŋ24	tiaŋ22	ɗiaŋ22					
賊	曾開一入德從	tsʰak2	tsʰak2	tsʰak5	sak2					
肯	曾開一上等溪	kʰaŋ31	kʰiŋ451	kʰiɛŋ41	kʰin31					
冰	曾開三平蒸幫	pɛŋ33	piŋ45	piŋ24	ɓən33					
逼	曾開三入職幫	pɛk5	pik5	pik5	ɓət5					
力	曾開三入職來	lak2	lak5	lak2	lak2					
熄	曾開三入職心	ɬɛk5	sik5	sik5	ɬət5					
直	曾開三入職證	tsɛk2	tit2	tiɛk2	ɗit2					
色	曾開三入職生	ɬɛk5	sik5	sik5	ɬət5					
蒸	曾開三平蒸章	tsɛŋ33	tsiŋ45	tsiŋ24	tən33					
證	曾開三去證章	tsɛŋ44	tsia31	tsiŋ21	tən44					
織	曾開三入職章	tsɛk5	tsik5	tsik5	tsit5					
秤～杆	曾開三去證昌	hu33（訓）	tsʰiŋ45	tsʰiɛŋ21	sin44					
繩	曾開三平蒸船	ɬɔ53（訓“索”）	so451（訓“索”）	so453（訓“索”）	ɬɔ453（訓“索”）					
食	曾開三入職船	tsia42	tsia443	tsia33	tsa42					
識	曾開三入職書	ɬɛk5	sik5	pak5（訓）/sik5	ɓak5（訓）					
極	曾開三入職群	kɛk2	kik2	kik2	kik2					
興～旺	曾開三平蒸曉	hɛŋ33	hiŋ45	hiŋ24	hən33					
興高～	曾開三去證曉	hɛŋ44	hiŋ31	hiŋ21	hən44					
應～當	曾開一平蒸影	ɛŋ33	——	iŋ24	ən33					
應～對	曾開一去證影	ɛŋ44	iŋ45	iŋ21	ən33					
蠅	曾開一平蒸以	ɬɛŋ22	siŋ24	siɛŋ22	ɬin22					
國	曾合一入德見	kuak5	kak5	kuɛk5	kɔk5					
百	梗開二入陌幫	pia53	pe451	pɛ453	ɓɛ453					
伯	梗開二入陌幫	pia53	pe451	pɛ453	ɓɛ42					
彭	梗開二平庚並	paŋ22	pʰe24	pʰɛ22	pʰaŋ22					
白	梗開二入陌並	pia42	pe443	pɛ33	ɓɛ42					
猛	梗開二去梗明	maŋ31	ɓiŋ451	mɛ41/miŋ41（文）	mɛ31					
孟	梗開二去映明	maŋ42	ɓaŋ24	mɛŋ453	——					
撐	梗開二平庚徹	tsʰaŋ33	tʰe45	tsʰaŋ24	tʰɛ33					
拆～開	梗開二入陌徹	tʰia53	tʰia451	tʰia453	kʰia453					
生	梗開二平庚生	ɬaŋ33/tsʰia33（白）	se45	sɛ24	ɬɛ33/ɬaŋ33					
省	梗開二上梗生	ɬaŋ31	se451	sɛŋ41	ɬaŋ31					
格	梗開二入陌見	kia53	ke451	kɛ453	kɛ453					
坑	梗開二平庚溪	kʰaŋ33	kʰoŋ31	kʰaŋ24	kʰɛ33/kʰaŋ33					
客	梗開二入陌溪	kʰia53	kʰe451	kʰɛ453	kʰɛ453					
硬	梗開二去映疑	ŋia44	ŋe443	ŋɛ33	ŋɛ42					
額	梗開二入陌疑	ŋak2	ŋak2	hia24/ŋɛ33（文）	hia42					
嚇	梗開二入陌曉	hia44	he451	hɛ453	hɛ453					
行～走	梗開二平庚匣	kia22	kia24	kia22	kia22					
棚	梗開二平耕並	pʰaŋ22	pe24	pʰɛ22	pʰaŋ22					
麥	梗開二入麥明	wia42	ɓe443	bɛ33	ɓɛ42/mət2					
脈	梗開二入麥明	wia42	ɓe443	bɛ33	ɓɛ42					
摘	梗開二入麥知	tɛŋ53	kʰyo451（訓）	mo453（訓）	kʰiɔ453（訓）					
爭	梗開二平耕莊	tsaŋ33	tse45	tsiŋ24	tsɛ33					
隔	梗開二入麥見	kia53	ke451	kɛ453	kɛ453					
幸	梗開二上耿匣	hɛŋ42	kia24	hiŋ41	hən42					
軛	耿開二入麥影	ia53	ak5	——	ŋɛ453					
兵	梗開三平庚幫	pia33	piŋ24	pia24	ɓia33					
柄	梗開三去映幫	pia44	pia31	pɛ21	ɓɛ44					
平	梗開三平庚並	pʰɛŋ22	pia24	pɛ22/pʰiŋ22（文）	ɓɛ22					
病	梗開三去映並	pia33	pia443	pɛ24	ɓɛ42					
明	梗開三平庚明	mɛŋ22	ɓiŋ24	miŋ22	mən22					
命	梗開三去映明	mɛŋ42/mia33	ɓia443	mia24	mia33					
鏡	梗開三去映見	kia44	kiŋ31	kia21	kia44					
迎	梗開三平庚疑	ɛŋ22	niŋ22	ŋɛŋ41（文）/iɛŋ41	ŋiŋ22					
逆	梗開三入陌疑	ak2	ŋik2	ŋiɛk5	ŋɐt2					
影	梗開三上梗影	ɛŋ31	ia451	o41（白）/iŋ41	ən31					
餅	梗開三上梗幫	pia31	pia451	pua41	pia31					
名	梗開三平清明	mia22	ɓia24	mia22	mia22					
領	梗開三上靜來	nia31	nia451	nia41	nia31					
嶺	梗開三上靜來	nia31	nia451	nia41	nia31					
精	梗開三平清精	tsɛŋ33	tsiŋ45	tsiŋ24	tən33					
井	梗開三上靜精	tsia31	tsɛ451	tsɛ41	tsɛ31					
脊	梗開三入昔精	tsia53	cia451	tsik5	tsa453					
清	梗開三平清清	tsʰɛŋ33	tsʰiŋ45	tsʰiŋ24	sən33					
請	梗開三上靜清	tsʰia31	tsʰia451	tsʰia41	sa31					
情	梗開三平清從	tsʰɛŋ22	tsiŋ24	tsʰiŋ22	tsa22/siŋ22					
靜	梗開三上靜從	tsɛŋ42	tsʰiŋ443	tsiŋ33	tʰɛ453					
姓	梗開三去勁心	ɬia44	sia31	sɛ21	ɬɛ44					
靚	梗開三去勁從	liaŋ44	lieŋ31							
惜	梗開三入昔心	ɬɛk5	sik5	tsʰoi453	ɬət5					
程	梗開三平清澄	tsʰɛŋ22	tsʰiŋ24	tsʰiŋ22	tsa22					
正～月	梗開三平清章	tsia33	tsia45	tsia24	tsa33					
正～正	梗開三去勁章	tsia44	tsia31	tsia21	tsa44					
隻一～	梗開三入昔章	tsia53	tsia451	tsik5	kai22（訓）					
尺	梗開三入昔昌	tsʰiɛu53	tsyo451	tsʰiɔ453	so453					
聲	梗開三平清書	ɬia33	sia45	sia24	ɬia33					
成	梗開三平清禪	tsia22	siŋ24	tsia22	tsa22					
石	梗開三入溪禪	tsiɛu42	tsyo443	tsiɔ33	tso42					
頸	梗開三上靜見	kɛŋ31	kiŋ45	kiŋ453	au22					
輕	梗開三平清溪	kʰiŋ33	kʰiŋ45	kʰiɛŋ24	kʰin33					
贏	梗開三平清以	ia22	ia24	ia22	ia22					
亦	梗開三入昔以	jiɛk2	jiek5	ik5	——					
壁	梗開四入錫幫	pia53	pik5	pia453	——					
瓶	梗開四平青並	pʰɛŋ22		pʰiŋ22						
樽			tsun45	tsuŋ24	tun33					
釘	梗開四平青端	tɛŋ44	tiŋ45	taŋ24	ɗən33					
滴	梗開四入錫端	tɛk5	tik5	tik5	ɗət5					
聽～見	梗開四平青透	tʰia33	tʰia45	tʰia24	kʰia33					
踢	梗開四入錫透	tʰɛk5	tʰiak5	tʰak5	tʰət5					
停	梗開四平青定	tʰɛŋ22	tʰiŋ24	tiŋ22	tʰən22					
定	梗開四去徑定	tia33/tɛŋ42 （文）	tiŋ31	tia24/tiŋ21（文）	ɗia33					
笛	梗開四入錫定	tɛk2	tiet2	tik2	ɬiau33					
敵	梗開四平青定	tɛk2	tik2	tik5	ɗik2					
靈	梗開四平青來	lɛŋ22	liŋ24	liŋ22	lən22					
曆	梗開四入錫來	lɛk2	lik2	lɛ33	lik2					
青	梗開四平青清	tsʰia33	tsʰe45	tsʰɛ24/tsʰiŋ24（文）	sɛ33					
星	梗開四平青心	ɬɛŋ33	tsʰe45	tsʰɛ24	ɬən33					
醒	梗開四上迥心	tsʰia31	tsʰɛ451	tsʰɛ41	sɛ31					
錫	梗開四入錫心	ɬia53	sia451	sia453	ɬia453					
經	梗開四平青見	kɛŋ33	kiŋ45	kiŋ24	kən33					
形	梗開四平青匣	hɛŋ22	iŋ24	hiŋ22	jiən22					
礦	梗合二上梗見	kʰuaŋ44	kʰoŋ31	kuaŋ21	kʰɔŋ44					
橫～直	梗合二平庚匣	huai22	hye24	huɛ22	fɛ22					
轟	梗合二平耕曉	hoŋ33	kuaŋ45	hoŋ24	——					
兄	梗合三平庚曉	hia33	hia45	hia24	hia33					
榮	梗合三平庚雲	jioŋ22	wiŋ24	jioŋ22	wiŋ22					
永	梗合三上梗雲	ɛŋ31	wiŋ451	jioŋ41	wiŋ31					
傾	梗合三平清溪	kʰɛŋ33	kʰiŋ45	kʰiŋ453	kʰuɛn31					
瓊	梗合三平清群	kʰɛŋ22	kʰiŋ24	kʰioŋ22	kʰiŋ22					
營	梗合三平清以	jiɛŋ22	ia24	ia22	ia22					
役	梗合三入昔以	jiɛk2	——	ik5	——					
蓬	通合一平東並	pʰaŋ22	pʰoŋ24	hoŋ22	pʰaŋ22					
蒙	通合一平東明	moŋ22	ɓoŋ451	moŋ22	moŋ22					
木	通合一入屋明	mok2	ɓok2	mok5	sa22（訓）					
東	通合一平東端	taŋ33	tɐŋ45	taŋ24/toŋ24（文）	ɗaŋ33					
懂	通合一上董端	toŋ31	ɓat5	toŋ41	ɓak5					
凍	通合一去送透	taŋ44	liŋ451	toŋ21						
通	通合一平東透	tʰoŋ33	tʰoŋ45	tʰoŋ24	tʰoŋ33					
桶	通合一上董透	tʰaŋ31	tʰaŋ451	tʰaŋ41	tʰən31					
痛	通合一去送透	tʰia44	tʰia31	tʰia21	kʰia44					
銅	通合一平東定	taŋ22	taŋ24	taŋ22	ɗaŋ22					
動	通合一上董定	toŋ42	toŋ443	tʰaŋ33/toŋ33（文）	ɗoŋ42					
洞	通合一去送定	toŋ42	kʰaŋ45（訓“空”）	toŋ453	kʰaŋ33（訓“空”）					
獨	通合一入屋定	tak2	tok2	tok2	ɗok2					
讀	通合一入室定	tʰak2	tʰak2	tʰak2	tʰak2					
籠	通合一平東來	laŋ22	laŋ24	loŋ22	laŋ22					
鹿	通合一入屋來	tiak2	lak2	tiak2	liak2					
棕	通合一平東精	tsoŋ33	tsaŋ45	tsoŋ24	——					
粽	通合一去送精	tsaŋ44	tsaŋ31	tsaŋ21	tən44					
蔥	通合一平東清	tsʰaŋ33	tsʰaŋ45	tsʰaŋ24	sən33					
送	通合一去送心	ɬaŋ44	saŋ31	saŋ21	ɬaŋ33					
公	通合一平東見	koŋ33／koŋ53	kaŋ45	koŋ24	kaŋ33/koŋ33					
工	通合一入東見	kaŋ33	kaŋ45	kaŋ24	kaŋ33					
穀	通合一入屋見	kok5	kok5	tsʰiak5（訓“粟”）	ɬɛk5（訓）					
空	通合一平東溪	kʰaŋ33	kʰaŋ45	kʰaŋ24/kʰoŋ24（文）	kʰaŋ33					
孔	通合一上董溪	kʰoŋ31	kʰoŋ451	kʰoŋ41	kʰaŋ33					
貢	通合一去送見	koŋ44	koŋ31	koŋ21	koŋ44					
控	通合一去送溪	kʰoŋ33	hoŋ51	kʰoŋ21	hoŋ44					
哭	通合一入屋溪	kʰau44	hau451	kʰau21	kʰau44					
紅	通合一平東匣	aŋ22	aŋ24	aŋ22	aŋ22/hoŋ22					
翁	通合一平東影	aŋ33	ioŋ45	aŋ24/oŋ24（文）	aŋ33					
蕹	通合一去送影	iaŋ33	iaŋ443	iaŋ453	aŋ44					
屋	通合一入屋影	tsʰu44（訓“厝”）	tsʰu31（訓“厝”）	tsu21（訓“厝”）	sy44（訓“厝”）					
冬	通合一平冬端	taŋ33	taŋ45	taŋ24	ɗaŋ33/ɗoŋ33					
毒	通合一入沃定	tak2	tok2	tok2	ɗak2					
農	通合一平東泥	noŋ22	naŋ24	noŋ22	naŋ22					
儂	通合一平東泥	naŋ22	laŋ24	naŋ22	naŋ22					
膿	通合一平冬泥	noŋ22	naŋ24	naŋ22	naŋ22					
宗	通合一平冬精	tsoŋ33	tsoŋ45	tsoŋ24	tsoŋ33					
鬆～緊	通合一平冬心	ɬaŋ33	saŋ45	saŋ24	sən33					
宋	通合一去宋心	ɬoŋ44	saŋ31	soŋ21	ɬoŋ44					
風	通合三平東非	huaŋ33	hoŋ45	huaŋ24	fɔŋ33					
福	通合三入屋非	hɔk5	hok5	hok5	fok5					
複		hok5								
曝		pʰak2	pʰak2	pak2	pʰak2					
馮	通合三平冬奉	hoŋ22	hoŋ24	paŋ22	foŋ22					
鳳	通合三去送奉	hoŋ42	hoŋ24	hoŋ453	foŋ42					
服	通合三入屋奉	hɔk2	hok2	hok2	fok2					
夢	通合三去送明	maŋ33	ɓoŋ443	maŋ24	maŋ33/moŋ33（文）					
目	通合三入屋明	mok2（文） /mak2	ɓak2	mak2/mok5（文）	mak2/mok2（文）					
六	通合三入屋來	lak2	lak2	lak2	lak2					
肅	通合三入屋心	ɬok5	sok5	sok5	ɬuk5					
中～間	通合三平東知	tsoŋ33	tsoŋ45	tsoŋ24	toŋ33					
竹	通合三入屋知	tip5	tik5	tip5	ɗip5					
軸	通合三入屋澄	tsok2	tsok2	tsok2	tuk2					
蟲	通合三平東澄	tʰaŋ22	tʰaŋ24	tʰaŋ22	tʰaŋ22					
終	通合三平東章	tsoŋ33	tsoŋ45	tsoŋ24	toŋ33					
眾	通合三去送章	tsiaŋ44	tsoŋ31	tsoŋ21	tsən44					
粥	通合三入屋章	tsok5	moi24（訓“糜”）	tsok5	moi22（訓“糜”）					
銃	通合三去送昌	——	tsʰoŋ31	tʰoŋ21	soŋ44					
叔	通合三入屋書	tsip5	tsik5	tsip5	tsip5					
熟	通合三入屋禪	ɬiak2	sik2	siak2	ɬiak2					
絨	通合三平東日	jioŋ22	jioŋ24	jioŋ22	jioŋ22					
肉	通合三入屋日	hip2	ɓa451（訓）	hip2	hɛp2					
弓	通合三平東見	kiaŋ33	kaŋ45	kiaŋ24	kiaŋ33					
宮	通合三平東見	koŋ33	koŋ45	koŋ24	koŋ33					
菊	通合三入屋見	kɔk5	tsʰik5（訓）	kʰok5	kok5					
窮	通合三平東群	kʰoŋ22	kiŋ24	kʰioŋ22	kʰoŋ22					
畜～牧	通合三入屋曉	tsʰok5	tsʰok5	tsok5	sok5					
熊	通合三平東雲	jioŋ22	hoŋ24	hioŋ22	jioŋ22					
雄	通合三平東雲	hoŋ22	aŋ24	hioŋ22	hoŋ22					
封	通合三平鐘非	hoŋ33	hoŋ45	hoŋ24	hoŋ33					
蜂	通合三平鐘敷	paŋ33	pʰaŋ45	pʰaŋ24	pʰaŋ33					
縫裁～	通合三平鐘奉	nui22（訓）	hoŋ22	hoŋ22	foŋ22					
濃	通合三平鐘泥	noŋ22	nioŋ24	noŋ22	noŋ22					
綠	通合三入燭來	liak2	lak2	liak2	liak2					
足	通合三入燭精	tsɔk5	tsok5	tsok5	tuk5					
從～來	通合三平鐘邪	tsʰoŋ22	tsʰoŋ24	tsʰoŋ22	soŋ22					
粟	通合三入燭心	ɬiap5	sok5	tsʰiak5（白）／siak5	ɬət5					
松～樹	通合三平鐘邪	tsʰoŋ22	tsʰoŋ24	soŋ22	soŋ22					
俗	通合三入燭邪	ɬok2	tsok2	sok2	tok2					
續	通合三入燭邪	tsok2	tsok2	sok2	tok2					
重～複	通合三上腫澄		tsʰoŋ24	tsʰoŋ22	soŋ22					
重輕～	通合三上腫澄	taŋ42	taŋ443	taŋ33	ɗaŋ42					
鐘	通合三平鐘章	tsiaŋ33	tsoŋ45	tsiaŋ24	tsən33					
腫	通合三上腫章	tsiaŋ31	tsiŋ451	tsiaŋ41	tsən31					
燭	通合三入燭章	tsiak5	tsik5	tsiak5	tsət5					
沖	通合三平鐘昌	tsʰoŋ33	tsʰoŋ45	tsʰioŋ24	soŋ33					
舂	通合三平鐘書	tsiaŋ33	tsiŋ45	tsiaŋ24	tsən33					
辱	通合三入燭日	jiok31	iok2	jiok2	——					
供～應	通合三平鐘見	koŋ33	koŋ45	koŋ21	koŋ33					
拱	通合三上腫見	koŋ31	koŋ451	koŋ21	——					
恐	通合三有腫溪	kʰoŋ31	hoŋ451	kʰoŋ21	——					
曲	通合三入燭溪	kʰiak5	kʰok5	kʰiak5	kʰok5					
共	通合三去用群	koŋ42	koŋ31	koŋ33	kaŋ42					
局	通合三入燭群	kok2	kok2	kʰok5	kuk2					
玉	通合三入燭疑	ŋok2	ɓa451（訓）	jiak2/jiok5（文）	ȵok2					
胸	通合三平鐘曉	hiaŋ33	hoŋ45	hiaŋ24	hiaŋ33					
凶	通合三平鐘曉		hoŋ45	hioŋ24	——					
容	通合三平鐘以	jioŋ22	ioŋ31	jioŋ22	jioŋ22					
用	通合三去用以	jioŋ42	ioŋ443	jioŋ33	jioŋ42					
欲	通合三入燭以	jiok2	iok2	jiok2	jiok2					
