繁体字	简体字	国际音标	吴语拼音	备注		调类	调值							
坪	坪	biŋ24	bin2			2	24	b	in	b	iŋ		bin2	biŋ24
遜	逊	sᴇ̃423	sen5			5	423	s	en	s	ᴇ̃		sen5	sᴇ̃423
呤	呤	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
龄	龄	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
泠	泠	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
玲	玲	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
伶	伶	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
翎	翎	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
琳	琳	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
粦	粦	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
燐	燐	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
麟	麟	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
粼	粼	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
膦	膦	liŋ31	lin4			4	31	l	in	l	iŋ		lin4	liŋ31
嶙	嶙	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
鱗	鳞	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
吝	吝	liŋ213	lin6			6	213	l	in	l	iŋ		lin6	liŋ213
藺	蔺	liŋ213	lin6			6	213	l	in	l	iŋ		lin6	liŋ213
躪	躏	liŋ213	lin6			6	213	l	in	l	iŋ		lin6	liŋ213
羚	羚	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
苓	苓	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
綾	绫	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
凌	凌	liŋ24	lin2			2	24	l	in	l	iŋ		lin2	liŋ24
鼎	鼎	tiŋ44	tin3			3	44	t	in	t	iŋ		tin3	tiŋ44
茵	茵	iŋ53	in1			1	53		in		iŋ		in1	iŋ53
齦	龈	ȵiŋ24	gnin2			2	24	gn	in	ȵ	iŋ		gnin2	ȵiŋ24
垠	垠	ȵiŋ24	gnin2			2	24	gn	in	ȵ	iŋ		gnin2	ȵiŋ24
棱	棱	lᴇ̃24	len2			2	24	l	en	l	ᴇ̃		len2	lᴇ̃24
駿	骏	tsiŋ423	tsin5			5	423	ts	in	ts	iŋ		tsin5	tsiŋ423
竣	竣	tsiŋ423	tsin5			5	423	ts	in	ts	iŋ		tsin5	tsiŋ423
峻	峻	tsiŋ423	tsin5			5	423	ts	in	ts	iŋ		tsin5	tsiŋ423
馴	驯	dziŋ24	dzin2			2	24	dz	in	dz	iŋ		dzin2	dziŋ24
汛	汛	siŋ423	sin5			5	423	s	in	s	iŋ		sin5	siŋ423
隽	隽	dzie31	dzie4	~永。		4	31	dz	ie	dz	ie		dzie4	dzie31
隽	隽	tsiŋ423	tsin5	~秀。		5	423	ts	in	ts	iŋ		tsin5	tsiŋ423
桓	桓	ɦuɤ24	woe2			2	24	w	oe	ɦ	uɤ		woe2	ɦuɤ24
紈	纨	ɦuɤ24	woe2			2	24	w	oe	ɦ	uɤ		woe2	ɦuɤ24
唁	唁	ȵie213	gnie6			6	213	gn	ie	ȵ	ie		gnie6	ȵie213
喑	喑	iŋ53	in1			1	53		in		iŋ		in1	iŋ53
髕	髌	biŋ31	bin4			4	31	b	in	b	iŋ		bin4	biŋ31
臏	膑	biŋ31	bin4			4	31	b	in	b	iŋ		bin4	biŋ31
殯	殡	piŋ423	pin5			5	423	p	in	p	iŋ		pin5	piŋ423
濱	滨	piŋ53	pin1			1	53	p	in	p	iŋ		pin1	piŋ53
檳	槟	piŋ53	pin1			1	53	p	in	p	iŋ		pin1	piŋ53
斌	斌	piŋ53	pin1			1	53	p	in	p	iŋ		pin1	piŋ53
繽	缤	piŋ53	pin1			1	53	p	in	p	iŋ		pin1	piŋ53
鬢	鬓	piŋ423	pin5			5	423	p	in	p	iŋ		pin5	piŋ423
稟	禀	piŋ44	pin3			3	44	p	in	p	iŋ		pin3	piŋ44
瀕	濒	piŋ53	pin1			1	53	p	in	p	iŋ		pin1	piŋ53
鈵	鈵	piŋ423	pin5			5	423	p	in	p	iŋ		pin5	piŋ423
炳	炳	piŋ44	pin3			3	44	p	in	p	iŋ		pin3	piŋ44
秉	秉	piŋ44	pin3			3	44	p	in	p	iŋ		pin3	piŋ44
掘	掘	dʑioʔ23	jioq8			8	23	j	ioq	dʑ	ioʔ		jioq8	dʑioʔ23
倔	倔	dʑioʔ23	jioq8			8	23	j	ioq	dʑ	ioʔ		jioq8	dʑioʔ23
嬲	嬲	ȵiɔ31	gniau4			4	31	gn	iau	ȵ	iɔ		gniau4	ȵiɔ31
櫥	橱	dʐʯ24	jyu2			2	24	j	yu	dʐ	ʯ		jyu2	dʐʯ24
黟	黟	i53	i1			1	53		i		i		i1	i53
夥	伙	hɯ44	hou3			3	44	h	ou	h	ɯ		hou3	hɯ44
黔	黔	dʑie24	jie2			2	24	j	ie	dʑ	ie		jie2	dʑie24
輻	辐	foʔ5	foq7			7	5	f	oq	f	oʔ		foq7	foʔ5
幅	幅	foʔ5	foq7			7	5	f	oq	f	oʔ		foq7	foʔ5
蝠	蝠	foʔ5	foq7			7	5	f	oq	f	oʔ		foq7	foʔ5
蜗	蜗	kɯ53	kou1			1	53	k	ou	k	ɯ		kou1	kɯ53
吩	吩	fᴇ̃53	fen1			1	53	f	en	f	ᴇ̃		fen1	fᴇ̃53
侖	仑	lᴇ̃24	len2			2	24	l	en	l	ᴇ̃		len2	lᴇ̃24
污	污	u53	u1			1	53		u		u		u1	u53
涴	涴	ɯ423	ou5			5	423		ou		ɯ		ou5	ɯ423
菌	菌	tɕiŋ53	cin1			1	53	c	in	tɕ	iŋ		cin1	tɕiŋ53
倪	倪	ȵi24	gni2			2	24	gn	i	ȵ	i		gni2	ȵi24
侃	侃	kʰɤ44	khoe3			3	44	kh	oe	kʰ	ɤ		khoe3	kʰɤ44
甬	甬	ɦioŋ31	yon4			4	31	y	on	ɦ	ioŋ		yon4	ɦioŋ31
蛹	蛹	ɦioŋ31	yon4			4	31	y	on	ɦ	ioŋ		yon4	ɦioŋ31
埇	埇	ɦioŋ31	yon4			4	31	y	on	ɦ	ioŋ		yon4	ɦioŋ31
墩	墩	tᴇ̃53	ten1			1	53	t	en	t	ᴇ̃		ten1	tᴇ̃53
淘	淘	dɔ24	dau2			2	24	d	au	d	ɔ		dau2	dɔ24
汏	汏	dɑ213	da6	洗。		6	213	d	a	d	ɑ		da6	dɑ213
汰	汰	tʰɑ423	tha5	【白读】		5	423	th	a	tʰ	ɑ		tha5	tʰɑ423
汰	汰	tʰæ423	thae5	【文读】		5	423	th	ae	tʰ	æ		thae5	tʰæ423
弛	弛	dʐʯ24	jyu2			2	24	j	yu	dʐ	ʯ		jyu2	dʐʯ24
攋	攋	lɑ31	la4	用指甲抓、挠。		4	31	l	a	l	ɑ		la4	lɑ31
寨	寨	dzɑ213	dza6			6	213	dz	a	dz	ɑ		dza6	dzɑ213
稗	稗	bɑ213	ba6			6	213	b	a	b	ɑ		ba6	bɑ213
砑	砑	ŋɑ213	nga6			6	213	ng	a	ŋ	ɑ		nga6	ŋɑ213
蚜	蚜	ŋɑ24	nga2			2	24	ng	a	ŋ	ɑ		nga2	ŋɑ24
伢	伢	ŋɑ24	nga2			2	24	ng	a	ŋ	ɑ		nga2	ŋɑ24
捱	捱	ŋɑ24	nga2			2	24	ng	a	ŋ	ɑ		nga2	ŋɑ24
霾	霾	mɑ24	ma2	【白读】		2	24	m	a	m	ɑ		ma2	mɑ24
霾	霾	mæ24	mae2	【文读】		2	24	m	ae	m	æ		mae2	mæ24
胛	胛	kaʔ5	kaeq7			7	5	k	aeq	k	aʔ		kaeq7	kaʔ5
呷	呷	haʔ5	haeq7	喝：~汤；~醪酒。		7	5	h	aeq	h	aʔ		haeq7	haʔ5
呷	呷	kaʔ5	kaeq7	鸭叫声。		7	5	k	aeq	k	aʔ		kaeq7	kaʔ5
嘎	嘎	kaʔ5	kaeq7	鸭叫声。		7	5	k	aeq	k	aʔ		kaeq7	kaʔ5
戛	戛	kaʔ5	kaeq7			7	5	k	aeq	k	aʔ		kaeq7	kaʔ5
岬	岬	kaʔ5	kaeq7			7	5	k	aeq	k	aʔ		kaeq7	kaʔ5
鉀	钾	tɕiaʔ5	ciaeq7			7	5	c	iaeq	tɕ	iaʔ		ciaeq7	tɕiaʔ5
哈	哈	hɑ53	ha1			1	53	h	a	h	ɑ		ha1	hɑ53
瞅	瞅	tʂʰɯ44	chou3			3	44	ch	ou	tʂʰ	ɯ		chou3	tʂʰɯ44
肘	肘	tʂɯ44	cou3			3	44	c	ou	tʂ	ɯ		cou3	tʂɯ44
驟	骤	dzᴇ213	dzei6			6	213	dz	ei	dz	ᴇ		dzei6	dzᴇ213
齷	龌	oʔ5	oq7			7	5		oq		oʔ		oq7	oʔ5
齪	龊	tʂʰɔʔ5	chaoq7			7	5	ch	aoq	tʂʰ	ɔʔ		chaoq7	tʂʰɔʔ5
滧	滧	ɦiɔ213	yau6			6	213	y	au	ɦ	iɔ		yau6	ɦiɔ213
怖	怖	pu423	pu5			5	423	p	u	p	u		pu5	pu423
埠	埠	bu213	bu6			6	213	b	u	b	u		bu6	bu213
侮	侮	vu31	vu4			4	31	v	u	v	u		vu4	vu31
塢	坞	u53	u1			1	53		u		u		u1	u53
鎢	钨	u53	u1			1	53		u		u		u1	u53
錮	锢	ku423	ku5			5	423	k	u	k	u		ku5	ku423
崮	崮	ku423	ku5			5	423	k	u	k	u		ku5	ku423
箍	箍	ku53	ku1			1	53	k	u	k	u		ku1	ku53
辜	辜	ku53	ku1			1	53	k	u	k	u		ku1	ku53
菇	菇	ku53	ku1			1	53	k	u	k	u		ku1	ku53
菰	菰	ku53	ku1			1	53	k	u	k	u		ku1	ku53
軲	轱	ku53	ku1			1	53	k	u	k	u		ku1	ku53
牯	牯	ku44	ku3			3	44	k	u	k	u		ku3	ku44
鹵	卤	lɯ31	lou4			4	31	l	ou	l	ɯ		lou4	lɯ31
虜	虏	lɯ31	lou4			4	31	l	ou	l	ɯ		lou4	lɯ31
伏	伏	bu213	bu6	蹲：~在地上。孵：~小鸡。		6	213	b	u	b	u		bu6	bu213
脯	脯	fu44	fu3			3	44	f	u	f	u		fu3	fu44
哺	哺	bu213	bu6			6	213	b	u	b	u		bu6	bu213
孵	孵	fu53	fu1	~化。		1	53	f	u	f	u		fu1	fu53
孵	孵	bu213	bu6	~小鸡。		6	213	b	u	b	u		bu6	bu213
孚	孚	fu53	fu1			1	53	f	u	f	u		fu1	fu53
釜	釜	vu31	vu4			4	31	v	u	v	u		vu4	vu31
滏	滏	vu31	vu4			4	31	v	u	v	u		vu4	vu31
氨	氨	ɤ53	oe1			1	53		oe		ɤ		oe1	ɤ53
銨	铵	ɤ44	oe3			3	44		oe		ɤ		oe3	ɤ44
俺	俺	ᴇ̃44	en3	北方俗字。		3	44		en		ᴇ̃		en3	ᴇ̃44
俺	俺	æ53	ae1	~这里（趣语，带自大意味）。		1	53		ae		æ		ae1	æ53
甫	甫	fu44	fu3			3	44	f	u	f	u		fu3	fu44
咐	咐	fu423	fu5			5	423	f	u	f	u		fu5	fu423
礎	础	tsʰɯ44	tshou3			3	44	tsh	ou	tsʰ	ɯ		tshou3	tsʰɯ44
俶	俶	tʂʰoʔ5	choq7			7	5	ch	oq	tʂʰ	oʔ		choq7	tʂʰoʔ5
摞	摞	lɯ213	lou6			6	213	l	ou	l	ɯ		lou6	lɯ213
騾	骡	lɯ24	lou2			2	24	l	ou	l	ɯ		lou2	lɯ24
鏍	镙	lɯ24	lou2			2	24	l	ou	l	ɯ		lou2	lɯ24
峨	峨	ŋɯ24	ngou2			2	24	ng	ou	ŋ	ɯ		ngou2	ŋɯ24
餜	馃	kɯ44	kou3			3	44	k	ou	k	ɯ		kou3	kɯ44
稞	稞	kʰɯ53	khou1			1	53	kh	ou	kʰ	ɯ		khou1	kʰɯ53
萵	莴	ɯ53	ou1			1	53		ou		ɯ		ou1	ɯ53
鉈	铊	tʰɑ53	tha1	化学元素Tl。		1	53	th	a	tʰ	ɑ		tha1	tʰɑ53
鉈	铊	dɯ24	dou2	秤~。		2	24	d	ou	d	ɯ		dou2	dɯ24
砣	砣	dɯ24	dou2	秤~。		2	24	d	ou	d	ɯ		dou2	dɯ24
坨	坨	dɯ24	dou2			2	24	d	ou	d	ɯ		dou2	dɯ24
陀	陀	dɯ24	dou2			2	24	d	ou	d	ɯ		dou2	dɯ24
矬	矬	zɯ24	zou2			2	24	z	ou	z	ɯ		zou2	zɯ24
礁	礁	tsiɔ53	tsiau1			1	53	ts	iau	ts	iɔ		tsiau1	tsiɔ53
呱	呱	kuɑʔ5	kuaq7	~~叫。		7	5	k	uaq	k	uɑʔ		kuaq7	kuɑʔ5
呱	呱	ku53	ku1	~~坠地。		1	53	k	u	k	u		ku1	ku53
趾	趾	tsɿ44	tsy3			3	44	ts	y	ts	ɿ		tsy3	tsɿ44
籪	簖	tɤ423	toe5	一种渔具。		5	423	t	oe	t	ɤ		toe5	tɤ423
榨	榨	tsu423	tsu5			5	423	ts	u	ts	u		tsu5	tsu423
墟	墟	tɕʰi53	chi1			1	53	ch	i	tɕʰ	i		chi1	tɕʰi53
樞	枢	ʂʯ53	shyu1			1	53	sh	yu	ʂ	ʯ		shyu1	ʂʯ53
岱	岱	dæ213	dae6			6	213	d	ae	d	æ		dae6	dæ213
咖	咖	kʰɑ53	kha1	~啡。		1	53	kh	a	kʰ	ɑ		kha1	kʰɑ53
咖	咖	kɑ53	ka1	~喱。		1	53	k	a	k	ɑ		ka1	kɑ53
啡	啡	fi53	fi1			1	53	f	i	f	i		fi1	fi53
喱	喱	li24	li2			2	24	l	i	l	i		li2	li24
嗎	吗	mu31	mu4	~啡。		4	31	m	u	m	u		mu4	mu31
嗎	吗	mɑ53	ma1			1	53	m	a	m	ɑ		ma1	mɑ53
卡	卡	kʰɑ44	kha3			3	44	kh	a	kʰ	ɑ		kha3	kʰɑ44
弇	弇	ie44	ie3	~山园（太仓的一座园林）。		3	44		ie		ie		ie3	ie44
忒	忒	tʰᴇʔ5	theq7	副词，相当于普通话的“太”。		7	5	th	eq	tʰ	ᴇʔ		theq7	tʰᴇʔ5
哉	哉	tsæ53	tsae1			1	53	ts	ae	ts	æ		tsae1	tsæ53
垃	垃	lɑ24	la2			2	24	l	a	l	ɑ		la2	lɑ24
圾	圾	si53	si1			1	53	s	i	s	i		si1	si53
垃	垃	lᴇʔ23	leq8			8	23	l	eq	l	ᴇʔ		leq8	lᴇʔ23
圾	圾	sᴇʔ5	seq7			7	5	s	eq	s	ᴇʔ		seq7	sᴇʔ5
漾	漾	ɦiã213	yan6			6	213	y	an	ɦ	iã		yan6	ɦiã213
羨	羡	zie213	zie6			6	213	z	ie	z	ie		zie6	zie213
瀆	渎	doʔ23	doq8			8	23	d	oq	d	oʔ		doq8	doʔ23
凜	凛	liŋ31	lin4			4	31	l	in	l	iŋ		lin4	liŋ31
冽	冽	liɪʔ23	liq8			8	23	l	iq	l	iɪʔ		liq8	liɪʔ23
涇	泾	tɕiŋ53	cin1			1	53	c	in	tɕ	iŋ		cin1	tɕiŋ53
瀝	沥	liɪʔ5	liq7			7	5	l	iq	l	iɪʔ		liq7	liɪʔ5
澱	淀	die213	die6	~粉；积~；沉~；昆山、青浦一带的湖泊通名：薛~（又名“~山湖”），西漾~，大~，太史~。		6	213	d	ie	d	ie		die6	die213
淀	淀	die213	die6	在华北地区指浅水湖泊，如位于河北雄县、容城、安新、任丘的“白洋淀”。上海市杨浦区亦有一湖泊名“白洋淀”。		6	213	d	ie	d	ie		die6	die213
燴	烩	huᴇ423	huei5			5	423	h	uei	h	uᴇ		huei5	huᴇ423
澮	浍	huᴇ423	huei5			5	423	h	uei	h	uᴇ		huei5	huᴇ423
劊	刽	kuᴇ423	kuei5			5	423	k	uei	k	uᴇ		kuei5	kuᴇ423
儈	侩	kuᴇ423	kuei5			5	423	k	uei	k	uᴇ		kuei5	kuᴇ423
噲	哙	kʰuɑ423	khua5			5	423	kh	ua	kʰ	uɑ		khua5	kʰuɑ423
厾	厾	toʔ5	toq7	掷，扔，甩：~篮球。		7	5	t	oq	t	oʔ		toq7	toʔ5
瘪	瘪	piɪʔ5	piq7			7	5	p	iq	p	iɪʔ		piq7	piɪʔ5
殻	壳	kʰɔʔ5	khaoq7			7	5	kh	aoq	kʰ	ɔʔ		khaoq7	kʰɔʔ5
詼	诙	kʰuᴇ53	khuei1			1	53	kh	uei	kʰ	uᴇ		khuei1	kʰuᴇ53
諧	谐	ɦie24	ye2	【文读】		2	24	y	e	ɦ	ie		ye2	ɦie24
吆	吆	iɔ53	iau1			1	53		iau		iɔ		iau1	iɔ53
瑶	瑶	ɦiɔ24	yau2			2	24	y	au	ɦ	iɔ		yau2	ɦiɔ24
徭	徭	ɦiɔ24	yau2			2	24	y	au	ɦ	iɔ		yau2	ɦiɔ24
肴	肴	ɦiɔ24	yau2			2	24	y	au	ɦ	iɔ		yau2	ɦiɔ24
崤	崤	ɦiɔ24	yau2			2	24	y	au	ɦ	iɔ		yau2	ɦiɔ24
轄	辖	huaʔ5	huaeq7			7	5	h	uaeq	h	uaʔ		huaeq7	huaʔ5
痊	痊	tsʰie53	tshie1			1	53	tsh	ie	tsʰ	ie		tshie1	tsʰie53
詮	诠	tsʰie53	tshie1			1	53	tsh	ie	tsʰ	ie		tshie1	tsʰie53
銓	铨	tsʰie53	tshie1			1	53	tsh	ie	tsʰ	ie		tshie1	tsʰie53
痙	痉	dʑiŋ31	jin4			4	31	j	in	dʑ	iŋ		jin4	dʑiŋ31
逾	逾	ɦi24	yi2			2	24	y	i	ɦ	i		yi2	ɦi24
渝	渝	ɦi24	yi2			2	24	y	i	ɦ	i		yi2	ɦi24
瑜	瑜	ɦi24	yi2			2	24	y	i	ɦ	i		yi2	ɦi24
諭	谕	ɦi213	yi6			6	213	y	i	ɦ	i		yi6	ɦi213
恤	恤	siɪʔ5	siq7			7	5	s	iq	s	iɪʔ		siq7	siɪʔ5
戢	戢	tɕiɪʔ5	ciq7	大~洋（杭州湾的一部分洋面）；大~山，小~山（浙江嵊泗地名，杭州湾岛屿）。		7	5	c	iq	tɕ	iɪʔ		ciq7	tɕiɪʔ5
縷	缕	li31	li4			4	31	l	i	l	i		li4	li31
泐	泐	lᴇʔ23	leq8	沙洲上的河流：石皮~（上海浦东地名）；偷鸭~（上海奉贤地名）。		8	23	l	eq	l	ᴇʔ		leq8	lᴇʔ23
廿	廿	ȵiæ213	gniae6	二十。		6	213	gn	iae	ȵ	iæ		gniae6	ȵiæ213
卅	卅	saʔ5	saeq7	三十。		7	5	s	aeq	s	aʔ		saeq7	saʔ5
乞	乞	tɕʰiɪʔ5	chiq7			7	5	ch	iq	tɕʰ	iɪʔ		chiq7	tɕʰiɪʔ5
漴	漴	ʂɒ̃53	shaon1	~缺（上海奉贤地名）。		1	53	sh	aon	ʂ	ɒ̃		shaon1	ʂɒ̃53
幢	幢	dʐɒ̃24	jaon2	经~。		2	24	j	aon	dʐ	ɒ̃		jaon2	dʐɒ̃24
幢	幢	dʐɒ̃213	jaon6	一~楼。		6	213	j	aon	dʐ	ɒ̃		jaon6	dʐɒ̃213
甸	甸	die213	die6			6	213	d	ie	d	ie		die6	die213
涮	涮	ʂᴇ423	shei5			5	423	sh	ei	ʂ	ᴇ		shei5	ʂᴇ423
淙	淙	zoŋ24	zon2			2	24	z	on	z	oŋ		zon2	zoŋ24
嗲	嗲	tiɑ44	tia3	发~。		3	44	t	ia	t	iɑ		tia3	tiɑ44
茆	茆	mɔ31	mau4	白~（江苏常熟地名）；白~塘（江苏常熟境内的一条河流）。		4	31	m	au	m	ɔ		mau4	mɔ31
溯	溯	sɯ423	sou5			5	423	s	ou	s	ɯ		sou5	sɯ423
塑	塑	sɯ423	sou5			5	423	s	ou	s	ɯ		sou5	sɯ423
坤	坤	kʰuᴇ̃53	khuen1			1	53	kh	uen	kʰ	uᴇ̃		khuen1	kʰuᴇ̃53
睏	睏	kʰuᴇ̃423	khuen5	睡：~觉。		5	423	kh	uen	kʰ	uᴇ̃		khuen5	kʰuᴇ̃423
胭	胭	ie53	ie1			1	53		ie		ie		ie1	ie53
蕪	芜	vu24	vu2			2	24	v	u	v	u		vu2	vu24
嘸	呒	m̩24	m2	“无”的俗字。		2	24		m		m̩		m2	m̩24
猡	猡	lɯ24	lou2	猪～。		2	24	l	ou	l	ɯ		lou2	lɯ24
沽	沽	ku53	ku1			1	53	k	u	k	u		ku1	ku53
穢	秽	huᴇ423	huei5			5	423	h	uei	h	uᴇ		huei5	huᴇ423
噦	哕	ioʔ5	ioq7			7	5		ioq		ioʔ		ioq7	ioʔ5
叽	叽	tɕi53	ci1			1	53	c	i	tɕ	i		ci1	tɕi53
哩	哩	li53	li1			1	53	l	i	l	i		li1	li53
咕	咕	ku53	ku1			1	53	k	u	k	u		ku1	ku53
噜	噜	lɯ53	lou1			1	53	l	ou	l	ɯ		lou1	lɯ53
咪	咪	mi53	mi1			1	53	m	i	m	i		mi1	mi53
嘛	嘛	mɑ53	ma1			1	53	m	a	m	ɑ		ma1	mɑ53
啦	啦	lɑ53	la1			1	53	l	a	l	ɑ		la1	lɑ53
蟛	蟛	bã24	ban2			2	24	b	an	b	ã		ban2	bã24
蛸	蛸	sɔ53	sau1			1	53	s	au	s	ɔ		sau1	sɔ53
蜞	蜞	dʑi24	ji2			2	24	j	i	dʑ	i		ji2	dʑi24
蕾	蕾	lᴇ24	lei2			2	24	l	ei	l	ᴇ		lei2	lᴇ24
闵	闵	miŋ31	min4			4	31	m	in	m	iŋ		min4	miŋ31
悯	悯	miŋ31	min4			4	31	m	in	m	iŋ		min4	miŋ31
皿	皿	miŋ31	min4			4	31	m	in	m	iŋ		min4	miŋ31
旷	旷	kʰuɒ̃423	khuaon5			5	423	kh	uaon	kʰ	uɒ̃		khuaon5	kʰuɒ̃423
隴	陇	loŋ31	lon4			4	31	l	on	l	oŋ		lon4	loŋ31
垄	垄	loŋ31	lon4			4	31	l	on	l	oŋ		lon4	loŋ31
垡	垡	vaʔ23	vaeq8			8	23	v	aeq	v	aʔ		vaeq8	vaʔ23
貸	贷	dæ213	dae6			6	213	d	ae	d	æ		dae6	dæ213
瘴	瘴	tsɒ̃423	tsaon5			5	423	ts	aon	ts	ɒ̃		tsaon5	tsɒ̃423
疼	疼	dᴇ̃24	den2			2	24	d	en	d	ᴇ̃		den2	dᴇ̃24
咳	咳	kʰᴇʔ5	kheq7			7	5	kh	eq	kʰ	ᴇʔ		kheq7	kʰᴇʔ5
痰	痰	dæ24	dae2			2	24	d	ae	d	æ		dae2	dæ24
銃	铳	tʂʰoŋ423	chon5			5	423	ch	on	tʂʰ	oŋ		chon5	tʂʰoŋ423
訶	诃	kʰɯ53	khou1			1	53	kh	ou	kʰ	ɯ		khou1	kʰɯ53
呵	呵	hɯ53	hou1	~斥；一气~成。		1	53	h	ou	h	ɯ		hou1	hɯ53
呵	呵	hɑ53	ha1	~气。		1	53	h	a	h	ɑ		ha1	hɑ53
呵	呵	hu53	hu1	~欠。		1	53	h	u	h	u		hu1	hu53
嗬	嗬	hɯ53	hou1			1	53	h	ou	h	ɯ		hou1	hɯ53
喆	喆	tʂᴇʔ5	ceq7			7	5	c	eq	tʂ	ᴇʔ		ceq7	tʂᴇʔ5
珈	珈	kɑ53	ka1			1	53	k	a	k	ɑ		ka1	kɑ53
淑	淑	ʐoʔ23	zhoq8			8	23	zh	oq	ʐ	oʔ		zhoq8	ʐoʔ23
廈	厦	ɦu31	wu4			4	31	w	u	ɦ	u		wu4	ɦu31
囊	囊	nɒ̃24	naon2			2	24	n	aon	n	ɒ̃		naon2	nɒ̃24
饢	馕	nɒ̃24	naon2			2	24	n	aon	n	ɒ̃		naon2	nɒ̃24
壤	壤	ȵiã31	gnian4	【白读】		4	31	gn	ian	ȵ	iã		gnian4	ȵiã31
壤	壤	ʐã31	zhan4	【文读】		4	31	zh	an	ʐ	ã		zhan4	ʐã31
攘	攘	ȵiã31	gnian4	【白读】		4	31	gn	ian	ȵ	iã		gnian4	ȵiã31
攘	攘	ʐã31	zhan4	【文读】		4	31	zh	an	ʐ	ã		zhan4	ʐã31
拄	拄	tʂʯ44	cyu3			3	44	c	yu	tʂ	ʯ		cyu3	tʂʯ44
躊	踌	dʐɯ24	jou2			2	24	j	ou	dʐ	ɯ		jou2	dʐɯ24
躇	躇	dʐʯ24	jyu2			2	24	j	yu	dʐ	ʯ		jyu2	dʐʯ24
蹭	蹭	tsʰᴇ̃423	tshen5			5	423	tsh	en	tsʰ	ᴇ̃		tshen5	tsʰᴇ̃423
襄	襄	ɕiã53	shian1			1	53	sh	ian	ɕ	iã		shian1	ɕiã53
鑲	镶	ɕiã53	shian1			1	53	sh	ian	ɕ	iã		shian1	ɕiã53
衷	衷	tʂoŋ53	con1			1	53	c	on	tʂ	oŋ		con1	tʂoŋ53
癰	痈	ioŋ53	ion1			1	53		ion		ioŋ		ion1	ioŋ53
剌	剌	laʔ23	laeq8			8	23	l	aeq	l	aʔ		laeq8	laʔ23
闌	阑	læ24	lae2			2	24	l	ae	l	æ		lae2	læ24
妨	妨	fɒ̃53	faon1			1	53	f	aon	f	ɒ̃		faon1	fɒ̃53
虱	虱	sᴇʔ5	seq7			7	5	s	eq	s	ᴇʔ		seq7	sᴇʔ5
螄	蛳	sɿ53	sy1			1	53	s	y	s	ɿ		sy1	sɿ53
肆	肆	sɿ423	sy5			5	423	s	y	s	ɿ		sy5	sɿ423
矢	矢	sɿ44	sy3			3	44	s	y	s	ɿ		sy3	sɿ44
匙	匙	zɿ24	zy2			2	24	z	y	z	ɿ		zy2	zɿ24
豉	豉	zɿ213	zy6			6	213	z	y	z	ɿ		zy6	zɿ213
劾	劾	ɦᴇʔ23	gheq8			8	23	gh	eq	ɦ	ᴇʔ		gheq8	ɦᴇʔ23
軾	轼	ʂᴇʔ5	sheq7			7	5	sh	eq	ʂ	ᴇʔ		sheq7	ʂᴇʔ5
拭	拭	ʂᴇʔ5	sheq7			7	5	sh	eq	ʂ	ᴇʔ		sheq7	ʂᴇʔ5
弑	弑	sɿ423	sy5			5	423	s	y	s	ɿ		sy5	sɿ423
琵	琵	bi24	bi2			2	24	b	i	b	i		bi2	bi24
琶	琶	bu24	bu2			2	24	b	u	b	u		bu2	bu24
滗	滗	piɪʔ5	piq7			7	5	p	iq	p	iɪʔ		piq7	piɪʔ5
蒂	蒂	ti423	ti5			5	423	t	i	t	i		ti5	ti423
渧	渧	ti423	ti5			5	423	t	i	t	i		ti5	ti423
諦	谛	ti423	ti5			5	423	t	i	t	i		ti5	ti423
浠	浠	ɕi53	shi1			1	53	sh	i	ɕ	i		shi1	ɕi53
烯	烯	ɕi53	shi1			1	53	sh	i	ɕ	i		shi1	ɕi53
熙	熙	ɕi53	shi1			1	53	sh	i	ɕ	i		shi1	ɕi53
羲	羲	ɕi53	shi1			1	53	sh	i	ɕ	i		shi1	ɕi53
曦	曦	ɕi53	shi1			1	53	sh	i	ɕ	i		shi1	ɕi53
禧	禧	ɕi53	shi1			1	53	sh	i	ɕ	i		shi1	ɕi53
囍	囍	ɕi44	shi3			3	44	sh	i	ɕ	i		shi3	ɕi44
兮	兮	ɦi24	yi2			2	24	y	i	ɦ	i		yi2	ɦi24
貳	贰	ȵi213	gni6	【白读】		6	213	gn	i	ȵ	i		gni6	ȵi213
貳	贰	əl213	er6	【文读】		6	213		er		əl		er6	əl213
